"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.700388417E0,-9.025794983E0,7.608749390E0,-2.047116089E1,2.363104887E1
1.710336417E0,-8.936504364E0,7.614212036E0,-2.045800781E1,2.358744197E1
1.720285417E0,-8.924072266E0,7.590087891E0,-2.066519165E1,2.375497097E1
1.730233417E0,-8.812389374E0,7.475616455E0,-2.073159790E1,2.373483093E1
1.740182417E0,-8.843269348E0,7.424743652E0,-2.090975952E1,2.388615235E1
1.750130417E0,-8.876041412E0,7.321502686E0,-2.067446899E1,2.366056172E1
1.760079417E0,-8.732772827E0,7.431274414E0,-2.090948486E1,2.384725808E1
1.770027417E0,-8.826725006E0,7.498107910E0,-2.113919067E1,2.410390174E1
1.779976417E0,-8.818969727E0,7.336990356E0,-2.108590698E1,2.400460639E1
1.789924417E0,-8.713474274E0,7.457870483E0,-2.119992065E1,2.410354957E1
1.799873417E0,-8.901203156E0,7.334930420E0,-2.097940063E1,2.394092465E1
1.809821417E0,-8.865108490E0,7.286376953E0,-2.102456665E1,2.395232432E1
1.819770417E0,-8.974552155E0,7.192123413E0,-2.113076782E1,2.405781732E1
1.829718417E0,-8.874534607E0,7.431320190E0,-2.126379395E1,2.421013873E1
1.839667417E0,-9.009777069E0,7.081466675E0,-2.098028564E1,2.390597496E1
1.849615417E0,-9.104831696E0,7.096176147E0,-2.089331055E1,2.387015085E1
1.859564417E0,-9.117084503E0,7.002258301E0,-2.100885010E1,2.394837434E1
1.869512417E0,-9.076866150E0,6.966094971E0,-2.119406128E1,2.408535264E1
1.879460417E0,-9.076137543E0,6.864608765E0,-2.121063232E1,2.407052242E1
1.889409417E0,-9.134605408E0,6.689178467E0,-2.142199707E1,2.422990060E1
1.899357417E0,-9.185138702E0,6.778289795E0,-2.114535522E1,2.402994035E1
1.909306417E0,-9.288246155E0,6.725326538E0,-2.144793701E1,2.432109240E1
1.919254417E0,-9.257587433E0,6.711486816E0,-2.133349609E1,2.420464906E1
1.929203417E0,-9.333656311E0,6.439987183E0,-2.141726685E1,2.423406475E1
1.939151417E0,-9.278949738E0,6.498214722E0,-2.147073364E1,2.427587498E1
1.949100417E0,-9.479690552E0,6.390213013E0,-2.143829346E1,2.429608573E1
1.959048417E0,-9.556480408E0,6.167617798E0,-2.131204224E1,2.415717226E1
1.968997417E0,-9.637107849E0,6.216812134E0,-2.125259399E1,2.414943793E1
1.978945417E0,-9.695850372E0,6.096206665E0,-2.132543945E1,2.420635491E1
1.988894417E0,-9.799621582E0,5.887313843E0,-2.131430054E1,2.418661727E1
1.998842417E0,-9.994087219E0,5.892013550E0,-2.147082520E1,2.440479333E1
2.008791417E0,-1.021982193E1,5.767883301E0,-2.152188110E1,2.451335563E1
2.018739417E0,-1.010550308E1,5.694656372E0,-2.150933838E1,2.443771555E1
2.028688417E0,-1.037149811E1,5.783401489E0,-2.130133057E1,2.438775081E1
2.038636417E0,-1.053244781E1,5.658676147E0,-2.120251465E1,2.434131673E1
2.048585417E0,-1.063734055E1,5.599090576E0,-2.133895874E1,2.449191682E1
2.058533417E0,-1.069153976E1,5.576370239E0,-2.141488647E1,2.457645805E1
2.068482417E0,-1.065836716E1,5.511352539E0,-2.143399048E1,2.456403357E1
2.078430417E0,-1.064064026E1,5.526077271E0,-2.139843750E1,2.452863393E1
2.088379417E0,-1.062975311E1,5.473999023E0,-2.150555420E1,2.460579562E1
2.098327417E0,-1.086368561E1,5.329971313E0,-2.167797852E1,2.482665929E1
2.108275417E0,-1.084231567E1,5.290069580E0,-2.173181152E1,2.485582985E1
2.118224417E0,-1.086255264E1,5.396362305E0,-2.146054077E1,2.465097536E1
2.128172417E0,-1.094358826E1,5.237670898E0,-2.130868530E1,2.452050957E1
2.138121417E0,-1.092020416E1,5.297210693E0,-2.124792480E1,2.447009621E1
2.148069417E0,-1.108763504E1,5.216476440E0,-2.133532715E1,2.460372862E1
2.158018417E0,-1.116895294E1,5.183685303E0,-2.122927856E1,2.454176790E1
2.167966417E0,-1.122380829E1,5.175415039E0,-2.131774902E1,2.464153438E1
2.177915417E0,-1.147977829E1,4.998458862E0,-2.146817017E1,2.485261014E1
2.187863417E0,-1.138643646E1,5.054748535E0,-2.147216797E1,2.482449225E1
2.197812417E0,-1.160051346E1,4.989639282E0,-2.116021729E1,2.464189944E1
2.207760417E0,-1.143479156E1,4.731994629E0,-2.121694946E1,2.456227139E1
2.217709417E0,-1.150621796E1,4.870239258E0,-2.126177979E1,2.466121574E1
2.227657417E0,-1.157799149E1,4.812591553E0,-2.139611816E1,2.479929025E1
2.237606417E0,-1.154808807E1,4.681625366E0,-2.150997925E1,2.485870394E1
2.247554417E0,-1.141319275E1,4.582717896E0,-2.159707642E1,2.485349033E1
2.257503417E0,-1.139373779E1,4.493865967E0,-2.170751953E1,2.492445579E1
2.267451417E0,-1.144936371E1,4.544174194E0,-2.168853760E1,2.494253619E1
2.277400417E0,-1.144849396E1,4.495178223E0,-2.166992188E1,2.491706554E1
2.287348417E0,-1.145165253E1,4.490478516E0,-2.164642334E1,2.489723652E1
2.297296417E0,-1.154424286E1,4.419509888E0,-2.168270874E1,2.495879543E1
2.307245417E0,-1.141856003E1,4.514648438E0,-2.189761353E1,2.510519950E1
2.317193417E0,-1.153316879E1,4.390380859E0,-2.191619873E1,2.515172347E1
2.327142417E0,-1.153639984E1,4.341766357E0,-2.162448120E1,2.489091488E1
2.337090417E0,-1.146280670E1,4.431289673E0,-2.175878906E1,2.498954115E1
2.347039417E0,-1.144596481E1,4.266921997E0,-2.212033081E1,2.526906743E1
2.356987417E0,-1.149905014E1,4.200180054E0,-2.214617920E1,2.530460274E1
2.366935792E0,-1.154396820E1,4.173294067E0,-2.213562012E1,2.531136628E1
2.376883792E0,-1.122545242E1,4.243804932E0,-2.210052490E1,2.514863542E1
2.386832792E0,-1.117187119E1,4.177658081E0,-2.218939209E1,2.519191644E1
2.396780792E0,-1.129843140E1,4.178253174E0,-2.199011230E1,2.507343995E1
2.406729792E0,-1.116945648E1,4.200561523E0,-2.205001831E1,2.507199200E1
2.416677792E0,-1.120914841E1,4.123641968E0,-2.248242188E1,2.545797958E1
2.426626792E0,-1.120333099E1,4.118041992E0,-2.223782349E1,2.523873389E1
2.436574792E0,-1.104776001E1,4.018768311E0,-2.225729370E1,2.517122609E1
2.446522792E0,-1.114451599E1,3.893630981E0,-2.223165894E1,2.517155653E1
2.456471792E0,-1.110073853E1,3.764953613E0,-2.226159668E1,2.515909295E1
2.466419792E0,-1.109613037E1,3.673431396E0,-2.222723389E1,2.511310681E1
2.476368792E0,-1.107213593E1,3.689666748E0,-2.236853027E1,2.523008088E1
2.486316792E0,-1.121543121E1,3.538421631E0,-2.236972046E1,2.527272677E1
2.496265792E0,-1.117412949E1,3.448348999E0,-2.220309448E1,2.509441542E1
2.506213792E0,-1.117435837E1,3.288574219E0,-2.222766113E1,2.509481868E1
2.516162792E0,-1.109566498E1,3.273468018E0,-2.233425903E1,2.515250486E1
2.526110792E0,-1.102906799E1,2.951889038E0,-2.250378418E1,2.523438710E1
2.536059792E0,-1.101401138E1,2.780441284E0,-2.258276367E1,2.527885511E1
2.546007792E0,-1.110781860E1,2.753158569E0,-2.265890503E1,2.538482802E1
2.555956792E0,-1.110155106E1,2.792861938E0,-2.268096924E1,2.540611893E1
2.565904792E0,-1.107636261E1,2.730819702E0,-2.277340698E1,2.547098841E1
2.575853792E0,-1.082325745E1,2.543518066E0,-2.290682983E1,2.546242799E1
2.585801792E0,-1.084728241E1,2.591384888E0,-2.284335327E1,2.542041699E1
2.595749792E0,-1.073432541E1,2.587768555E0,-2.272149658E1,2.526239686E1
2.605698792E0,-1.067919922E1,2.487335205E0,-2.282037354E1,2.531800902E1
2.615646792E0,-1.045551682E1,2.472640991E0,-2.302468872E1,2.540803172E1
2.625595792E0,-1.050173569E1,2.350173950E0,-2.303369141E1,2.542362503E1
2.635543792E0,-1.041126251E1,2.247436523E0,-2.280389404E1,2.516868971E1
2.645492792E0,-1.035849762E1,2.275329590E0,-2.277963257E1,2.512742043E1
2.655440792E0,-1.035083771E1,2.033676147E0,-2.289312744E1,2.520656589E1
2.665389792E0,-1.031728363E1,2.082031250E0,-2.300210571E1,2.529581117E1
2.675337792E0,-1.016316223E1,2.053863525E0,-2.297268677E1,2.520421709E1
2.685286792E0,-1.016684723E1,1.997268677E0,-2.297094727E1,2.519956910E1
2.695234792E0,-1.008576584E1,1.891983032E0,-2.288800049E1,2.508311860E1
2.705183792E0,-1.019757843E1,1.772521973E0,-2.296337891E1,2.518827526E1
2.715131792E0,-1.016368866E1,1.880554199E0,-2.307244873E1,2.528190938E1
2.725079792E0,-1.027781677E1,1.845382690E0,-2.308258057E1,2.533464980E1
2.735028792E0,-1.009123611E1,1.969665527E0,-2.290542603E1,2.510719359E1
2.744976792E0,-1.009123611E1,1.969665527E0,-2.290542603E1,2.510719359E1
2.754925792E0,-1.004013443E1,2.202880859E0,-2.325695801E1,2.542721139E1
2.764873792E0,-1.016792297E1,1.922943115E0,-2.314443970E1,2.535250395E1
