"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.180148208E0,1.215967941E1,-1.996571350E1,-3.721908569E1,4.395165365E1
1.190095208E0,1.210186386E1,-1.992320251E1,-3.711993408E1,4.383239229E1
1.200042208E0,1.213145065E1,-1.986898804E1,-3.720043945E1,4.388418253E1
1.209989208E0,1.216476059E1,-1.985479736E1,-3.724365234E1,4.392361573E1
1.219936208E0,1.212922287E1,-1.983662415E1,-3.711962891E1,4.380041729E1
1.229883208E0,1.210228729E1,-1.985072327E1,-3.687533569E1,4.359251030E1
1.239830208E0,1.211216354E1,-1.988185120E1,-3.702539062E1,4.373639290E1
1.249777208E0,1.204854965E1,-1.998530579E1,-3.724334717E1,4.395050517E1
1.259724208E0,1.217488480E1,-2.016777039E1,-3.711791992E1,4.396256091E1
1.269671208E0,1.216610718E1,-2.007844543E1,-3.735772705E1,4.412207957E1
1.279618208E0,1.212564468E1,-1.993792725E1,-3.707946777E1,4.381140413E1
1.289565208E0,1.215240097E1,-1.997944641E1,-3.709713745E1,4.385267079E1
1.299512208E0,1.215240097E1,-1.997944641E1,-3.709713745E1,4.385267079E1
1.309458208E0,1.208074188E1,-1.988148499E1,-3.708380127E1,4.377700408E1
1.319405208E0,1.218167877E1,-1.999179077E1,-3.703393555E1,4.381298184E1
1.329352208E0,1.225693130E1,-1.997151184E1,-3.712316895E1,4.390015174E1
1.339299208E0,1.215315247E1,-1.999026489E1,-3.701876831E1,4.379154042E1
1.349246208E0,1.210570526E1,-2.002142334E1,-3.722607422E1,4.396801217E1
1.359193208E0,1.211345291E1,-1.994337463E1,-3.725000000E1,4.395493639E1
1.369140208E0,1.218523788E1,-2.003805542E1,-3.719219971E1,4.396889135E1
1.379087208E0,1.224908066E1,-1.994358826E1,-3.730114746E1,4.403592047E1
1.389034208E0,1.212893295E1,-2.002854919E1,-3.732778931E1,4.406379071E1
1.398981208E0,1.218283081E1,-2.012805176E1,-3.742282104E1,4.420438179E1
1.408928208E0,1.216934204E1,-2.008541870E1,-3.718444824E1,4.397954208E1
1.418875208E0,1.225654221E1,-1.997206116E1,-3.716751099E1,4.393779611E1
1.428822208E0,1.218616104E1,-1.996870422E1,-3.703152466E1,4.380166079E1
1.438768208E0,1.215555191E1,-2.009339905E1,-3.706747437E1,4.388051713E1
1.448715208E0,1.215851974E1,-2.002545166E1,-3.734808350E1,4.408772683E1
1.458662208E0,1.227095032E1,-1.993882751E1,-3.723181152E1,4.398114202E1
1.468609208E0,1.232613373E1,-1.992672729E1,-3.731024170E1,4.405748709E1
1.478556208E0,1.221631622E1,-2.007731628E1,-3.713400269E1,4.394623040E1
1.488503208E0,1.204507446E1,-2.011936951E1,-3.718737793E1,4.396332478E1
1.498450208E0,1.193521881E1,-1.998065186E1,-3.735424805E1,4.401154103E1
1.508397208E0,1.202022934E1,-1.995158386E1,-3.727505493E1,4.395430960E1
1.518344208E0,1.199708176E1,-2.011174011E1,-3.734317017E1,4.407861635E1
1.528291208E0,1.216009521E1,-2.015786743E1,-3.708831787E1,4.392892962E1
1.538238208E0,1.209027863E1,-2.004585266E1,-3.724008179E1,4.398675639E1
1.548185208E0,1.198831940E1,-2.003958130E1,-3.714001465E1,4.387123555E1
1.558132208E0,1.218844986E1,-1.992166138E1,-3.709640503E1,4.383576357E1
1.568078208E0,1.199214935E1,-2.004493713E1,-3.737741089E1,4.407586636E1
1.578025208E0,1.207424545E1,-1.997721863E1,-3.737115479E1,4.406222733E1
1.587972208E0,1.192182922E1,-2.006439209E1,-3.742156982E1,4.410310341E1
1.597919208E0,1.194115448E1,-2.012719727E1,-3.731536865E1,4.404692927E1
1.607866208E0,1.199485779E1,-1.989019775E1,-3.701385498E1,4.369807823E1
1.617813208E0,1.194978714E1,-1.994885254E1,-3.715234375E1,4.382979325E1
1.627760208E0,1.185224152E1,-2.003869629E1,-3.728103638E1,4.395339181E1
1.637707208E0,1.198999786E1,-1.997428894E1,-3.748159790E1,4.413164906E1
1.647654208E0,1.194843674E1,-1.994552612E1,-3.753292847E1,4.415098948E1
1.657601208E0,1.187652588E1,-2.005104065E1,-3.758792114E1,4.422609992E1
