"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.294230667E0,-3.501137161E1,-2.633459473E1,-2.669442749E1,5.130204168E1
1.304177667E0,-3.514059830E1,-2.643595886E1,-2.684957886E1,5.152301869E1
1.314124667E0,-3.512383652E1,-2.655357361E1,-2.655883789E1,5.142127996E1
1.324071667E0,-3.496487808E1,-2.656579590E1,-2.662765503E1,5.135480721E1
1.334018667E0,-3.507631302E1,-2.637213135E1,-2.669973755E1,5.136840500E1
1.343965667E0,-3.521298599E1,-2.651167297E1,-2.678381348E1,5.157708649E1
1.353912667E0,-3.506864548E1,-2.631671143E1,-2.675891113E1,5.136553826E1
1.363859667E0,-3.517604446E1,-2.644548035E1,-2.677908325E1,5.151540386E1
1.373806667E0,-3.519933701E1,-2.640026855E1,-2.666653442E1,5.144969935E1
1.383754667E0,-3.524624252E1,-2.617576599E1,-2.657241821E1,5.131823990E1
1.393701667E0,-3.529350662E1,-2.626043701E1,-2.663092041E1,5.142419745E1
1.403648667E0,-3.530069351E1,-2.644604492E1,-2.667227173E1,5.154553651E1
1.413595667E0,-3.526861954E1,-2.664363098E1,-2.672985840E1,5.165504744E1
1.423542667E0,-3.533686447E1,-2.658486938E1,-2.678356934E1,5.169921525E1
1.433489667E0,-3.537002945E1,-2.653349304E1,-2.688555908E1,5.174841566E1
1.443436667E0,-3.519372177E1,-2.666806030E1,-2.677352905E1,5.163918425E1
1.453383667E0,-3.518120193E1,-2.650233459E1,-2.679696655E1,5.155742551E1
1.463330667E0,-3.530904770E1,-2.646803284E1,-2.641433716E1,5.142959089E1
1.473277667E0,-3.532166672E1,-2.657234192E1,-2.660559082E1,5.159037660E1
1.483224667E0,-3.531127548E1,-2.636401367E1,-2.663272095E1,5.149028275E1
1.493171667E0,-3.520784378E1,-2.647994995E1,-2.671490479E1,5.152151153E1
1.503118667E0,-3.506729507E1,-2.622268677E1,-2.672683716E1,5.129978859E1
1.513066667E0,-3.491898727E1,-2.608178711E1,-2.651684570E1,5.101704026E1
1.523013667E0,-3.508423233E1,-2.630639648E1,-2.655523682E1,5.126509979E1
1.532960667E0,-3.514473343E1,-2.632124329E1,-2.640948486E1,5.123886246E1
1.542907667E0,-3.503133011E1,-2.615074158E1,-2.628128052E1,5.100746102E1
1.552854667E0,-3.479582596E1,-2.577359009E1,-2.601391602E1,5.051486194E1
1.562801667E0,-3.462704849E1,-2.568829346E1,-2.599899292E1,5.034747800E1
1.572748667E0,-3.498293686E1,-2.631002808E1,-2.622799683E1,5.102872981E1
1.582695667E0,-3.509038162E1,-2.633071899E1,-2.623562622E1,5.111701995E1
1.592642667E0,-3.516080856E1,-2.642738342E1,-2.636984253E1,5.128408767E1
