"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.632660042E0,-1.841195297E1,-1.072860718E0,-3.822836304E1,4.244477333E1
1.642606042E0,-1.847357559E1,-7.868041992E-1,-3.826345825E1,4.249687393E1
1.652553042E0,-1.830421829E1,-9.837188721E-1,-3.841152954E1,4.256122310E1
1.662499042E0,-1.829314041E1,-1.024169922E0,-3.822415161E1,4.238836723E1
1.672446042E0,-1.842200089E1,-8.901214600E-1,-3.808050537E1,4.231178704E1
1.682392042E0,-1.851898575E1,-9.131927490E-1,-3.828237915E1,4.253618821E1
1.692339042E0,-1.844776535E1,-9.712829590E-1,-3.805252075E1,4.229961906E1
1.702285042E0,-1.843238449E1,-9.129028320E-1,-3.810165405E1,4.233582680E1
1.712231042E0,-1.844353104E1,-1.004028320E0,-3.816751099E1,4.240201416E1
1.722178042E0,-1.850391006E1,-1.064025879E0,-3.796166992E1,4.224470644E1
1.732124042E0,-1.851630783E1,-1.131851196E0,-3.798440552E1,4.227232907E1
1.742071042E0,-1.851630783E1,-1.131851196E0,-3.798440552E1,4.227232907E1
1.752017042E0,-1.849493790E1,-1.050231934E0,-3.828518677E1,4.253141475E1
1.761964042E0,-1.845313644E1,-9.026641846E-1,-3.807803345E1,4.232339399E1
1.771910042E0,-1.842219925E1,-8.648834229E-1,-3.816619873E1,4.238849106E1
1.781857042E0,-1.844678879E1,-8.110198975E-1,-3.812741089E1,4.236320610E1
1.791803042E0,-1.839302444E1,-9.134063721E-1,-3.795532227E1,4.218701397E1
1.801749042E0,-1.842154312E1,-1.030609131E0,-3.827676392E1,4.249148223E1
1.811696042E0,-1.845359421E1,-1.078567505E0,-3.820797729E1,4.244464602E1
1.821642042E0,-1.836100388E1,-1.023925781E0,-3.820358276E1,4.239915829E1
1.831589042E0,-1.838091660E1,-1.054229736E0,-3.806732178E1,4.228581893E1
1.841535042E0,-1.826919937E1,-9.961547852E-1,-3.801489258E1,4.218871920E1
1.851482042E0,-1.827126694E1,-9.349975586E-1,-3.813198853E1,4.229375799E1
