"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
9.503124583E-1,-1.201142502E1,-4.172138977E1,-2.244369507E1,4.887400274E1
9.602584583E-1,-1.203170395E1,-4.168290710E1,-2.256332397E1,4.890122936E1
9.702044583E-1,-1.194372177E1,-4.160877991E1,-2.273883057E1,4.889782685E1
9.801504583E-1,-1.191509628E1,-4.156184387E1,-2.280297852E1,4.888079597E1
9.900964583E-1,-1.188461685E1,-4.145872498E1,-2.261862183E1,4.869981568E1
1.000042458E0,-1.212692642E1,-4.153378296E1,-2.244161987E1,4.874160209E1
1.009988458E0,-1.208683395E1,-4.155888367E1,-2.255883789E1,4.880710536E1
1.019934458E0,-1.190412521E1,-4.150090027E1,-2.246185303E1,4.866793361E1
1.029880458E0,-1.194862747E1,-4.162145996E1,-2.254290771E1,4.881903641E1
1.039826458E0,-1.197471237E1,-4.167098999E1,-2.255831909E1,4.887476755E1
1.049772458E0,-1.192033768E1,-4.162155151E1,-2.239895630E1,4.874588438E1
1.059718458E0,-1.193033981E1,-4.154260254E1,-2.237561035E1,4.867020415E1
1.069664458E0,-1.192478561E1,-4.157786560E1,-2.257388306E1,4.879036397E1
1.079610458E0,-1.187995529E1,-4.161071777E1,-2.249621582E1,4.877155829E1
1.089556458E0,-1.189551163E1,-4.172749329E1,-2.243621826E1,4.884742350E1
1.099502458E0,-1.187686539E1,-4.176705933E1,-2.255899048E1,4.893317104E1
1.109448458E0,-1.183240891E1,-4.164035034E1,-2.240713501E1,4.874427532E1
1.119394458E0,-1.185197830E1,-4.151206970E1,-2.243203735E1,4.865097759E1
1.129340458E0,-1.190286636E1,-4.140248108E1,-2.250158691E1,4.860210984E1
1.139286458E0,-1.185503769E1,-4.148016357E1,-2.262780762E1,4.871512667E1
1.149232458E0,-1.189162827E1,-4.143212891E1,-2.237707520E1,4.856712492E1
1.159178458E0,-1.193739700E1,-4.144845581E1,-2.258853149E1,4.869001634E1
1.169124875E0,-1.193148422E1,-4.140087891E1,-2.240289307E1,4.856215304E1
1.179070875E0,-1.198249435E1,-4.147137451E1,-2.214257812E1,4.851544951E1
1.189016875E0,-1.205493546E1,-4.147583008E1,-2.223519897E1,4.857952267E1
1.198962875E0,-1.193387222E1,-4.157620239E1,-2.243066406E1,4.872507159E1
1.208909875E0,-1.194724655E1,-4.149165344E1,-2.241513062E1,4.864907076E1
1.218855875E0,-1.188744736E1,-4.144126892E1,-2.233154297E1,4.855294003E1
1.228801875E0,-1.196880722E1,-4.137628174E1,-2.223312378E1,4.847226867E1
1.238747875E0,-1.208720016E1,-4.145799255E1,-2.232159424E1,4.861192368E1
1.248693875E0,-1.207159042E1,-4.144757080E1,-2.235723877E1,4.861553811E1
1.258639875E0,-1.199471664E1,-4.134507751E1,-2.232559204E1,4.849454322E1
1.268585875E0,-1.198433304E1,-4.132518005E1,-2.235427856E1,4.848823069E1
1.278531875E0,-1.214114761E1,-4.140368652E1,-2.212271118E1,4.848800958E1
1.288477875E0,-1.204743576E1,-4.138877869E1,-2.223965454E1,4.850540118E1
1.298423875E0,-1.195493698E1,-4.143875122E1,-2.220272827E1,4.850826490E1
1.308369875E0,-1.201413345E1,-4.134666443E1,-2.214907837E1,4.841970399E1
1.318315875E0,-1.202873611E1,-4.139862061E1,-2.235360718E1,4.856150774E1
1.328261875E0,-1.208824539E1,-4.136303711E1,-2.242358398E1,4.857822181E1
1.338207875E0,-1.211656570E1,-4.150181580E1,-2.209475708E1,4.855296252E1
1.348153875E0,-1.216710281E1,-4.161071777E1,-2.224563599E1,4.872739009E1
1.358099875E0,-1.217975998E1,-4.127865601E1,-2.242364502E1,4.852930919E1
1.368045875E0,-1.212199020E1,-4.126116943E1,-2.234548950E1,4.846387986E1
1.377991875E0,-1.213546371E1,-4.132942200E1,-2.225573730E1,4.848410508E1
1.387937875E0,-1.226035690E1,-4.149160767E1,-2.203952026E1,4.855522950E1
1.397883875E0,-1.215838242E1,-4.128015137E1,-2.208294678E1,4.836872645E1
1.407829875E0,-1.205035019E1,-4.127069092E1,-2.208636475E1,4.833516708E1
1.417775875E0,-1.212812424E1,-4.131190491E1,-2.204138184E1,4.836928155E1
1.427721875E0,-1.208316422E1,-4.133155823E1,-2.207565308E1,4.839044350E1
1.437667875E0,-1.201311111E1,-4.143313599E1,-2.205712891E1,4.845138318E1
1.447613875E0,-1.195864487E1,-4.142729187E1,-2.217837524E1,4.848824628E1
1.457559875E0,-1.195422745E1,-4.144952393E1,-2.236941528E1,4.859379927E1
1.467506875E0,-1.195422745E1,-4.144952393E1,-2.236941528E1,4.859379927E1
1.477452875E0,-1.212696457E1,-4.147088623E1,-2.258538818E1,4.875446066E1
1.487398875E0,-1.209842300E1,-4.150311279E1,-2.237255859E1,4.867660207E1
1.497344875E0,-1.213393021E1,-4.145257568E1,-2.249673462E1,4.869960330E1
1.507290875E0,-1.219006729E1,-4.145198059E1,-2.239743042E1,4.866733324E1
1.517236875E0,-1.216691971E1,-4.138220215E1,-2.227374268E1,4.854523872E1
1.527182875E0,-1.219227219E1,-4.139407349E1,-2.231948853E1,4.858271698E1
1.537128875E0,-1.225364304E1,-4.142826843E1,-2.244879150E1,4.868676856E1
1.547074875E0,-1.221101761E1,-4.147212219E1,-2.218664551E1,4.859313850E1
1.557020875E0,-1.212990952E1,-4.148257446E1,-2.217782593E1,4.857771765E1
1.566966875E0,-1.211365891E1,-4.149369812E1,-2.209732056E1,4.854646528E1
1.576912875E0,-1.196825027E1,-4.140995789E1,-2.213305664E1,4.845509079E1
1.586858875E0,-1.208759689E1,-4.145977783E1,-2.220187378E1,4.855869001E1
1.596804875E0,-1.216589737E1,-4.135307312E1,-2.222924805E1,4.849974416E1
1.606750875E0,-1.199283218E1,-4.155809021E1,-2.223181152E1,4.863287293E1
1.616696875E0,-1.186465073E1,-4.151158142E1,-2.210409546E1,4.850332324E1
1.626642875E0,-1.207834244E1,-4.142158508E1,-2.210079956E1,4.847761760E1
1.636588875E0,-1.202493668E1,-4.138867188E1,-2.199166870E1,4.838651417E1
1.646534875E0,-1.206924820E1,-4.147851562E1,-2.177682495E1,4.837730992E1
1.656480875E0,-1.207284164E1,-4.130125427E1,-2.190472412E1,4.828420082E1
1.666426875E0,-1.207515335E1,-4.138391113E1,-2.222875977E1,4.850314618E1
1.676372875E0,-1.202557755E1,-4.131362915E1,-2.201620483E1,4.833367092E1
1.686318875E0,-1.207234573E1,-4.150047302E1,-2.197836304E1,4.848792875E1
1.696264875E0,-1.209133530E1,-4.151100159E1,-2.185803223E1,4.844726220E1
1.706210875E0,-1.209772873E1,-4.147355652E1,-2.201049805E1,4.848580158E1
1.716157875E0,-1.197584915E1,-4.142457581E1,-2.203689575E1,4.842562563E1
1.726103875E0,-1.188438797E1,-4.136932373E1,-2.213406372E1,4.840016942E1
1.736049875E0,-1.188654709E1,-4.136395264E1,-2.209765625E1,4.837946869E1
1.745995875E0,-1.203904343E1,-4.131210327E1,-2.225924683E1,4.844690406E1
1.755941875E0,-1.192001724E1,-4.130493164E1,-2.205261230E1,4.831668344E1
1.765887875E0,-1.201943588E1,-4.149794006E1,-2.206185913E1,4.851052975E1
1.775833875E0,-1.209408188E1,-4.145121765E1,-2.231610107E1,4.860533539E1
1.785779875E0,-1.208774948E1,-4.145513916E1,-2.257473755E1,4.872638942E1
1.795725875E0,-1.216399002E1,-4.137399292E1,-2.233352661E1,4.856497044E1
1.805671875E0,-1.211114883E1,-4.140393066E1,-2.224871826E1,4.853834427E1
1.815617875E0,-1.216132736E1,-4.146841431E1,-2.220776367E1,4.858715916E1
1.825563875E0,-1.215907669E1,-4.136914062E1,-2.220947266E1,4.850267640E1
1.835509875E0,-1.205305862E1,-4.135339355E1,-2.224349976E1,4.847837314E1
1.845455875E0,-1.192725754E1,-4.129104614E1,-2.221829224E1,4.838246039E1
1.855401875E0,-1.207389450E1,-4.155114746E1,-2.227075195E1,4.866480429E1
1.865347875E0,-1.213053513E1,-4.153823853E1,-2.226904297E1,4.866708762E1
1.875293875E0,-1.201232529E1,-4.151303101E1,-2.215646362E1,4.856476688E1
1.885239875E0,-1.197555923E1,-4.133555603E1,-2.222616577E1,4.843598514E1
1.895185875E0,-1.193254471E1,-4.138714600E1,-2.218533325E1,4.845070163E1
1.905131875E0,-1.197973251E1,-4.141229248E1,-2.202688599E1,4.841152410E1
